Unnamed: 0,battleTime,arena.id,gameMode.id,average.startingTrophies,winner.tag,winner.startingTrophies,winner.trophyChange,winner.crowns,winner.kingTowerHitPoints,winner.princessTowersHitPoints,winner.clan.tag,winner.clan.badgeId,loser.tag,loser.startingTrophies,loser.trophyChange,loser.crowns,loser.kingTowerHitPoints,loser.clan.tag,loser.clan.badgeId,loser.princessTowersHitPoints,tournamentTag,winner.card1.id,winner.card1.level,winner.card2.id,winner.card2.level,winner.card3.id,winner.card3.level,winner.card4.id,winner.card4.level,winner.card5.id,winner.card5.level,winner.card6.id,winner.card6.level,winner.card7.id,winner.card7.level,winner.card8.id,winner.card8.level,winner.cards.list,winner.totalcard.level,winner.troop.count,winner.structure.count,winner.spell.count,winner.common.count,winner.rare.count,winner.epic.count,winner.legendary.count,winner.elixir.average,loser.card1.id,loser.card1.level,loser.card2.id,loser.card2.level,loser.card3.id,loser.card3.level,loser.card4.id,loser.card4.level,loser.card5.id,loser.card5.level,loser.card6.id,loser.card6.level,loser.card7.id,loser.card7.level,loser.card8.id,loser.card8.level,loser.cards.list,loser.totalcard.level,loser.troop.count,loser.structure.count,loser.spell.count,loser.common.count,loser.rare.count,loser.epic.count,loser.legendary.count,loser.elixir.average
20,2020-12-31 21:06:42+00:00,54000050.0,72000006.0,5532.0,#8YJJRJ2VC,5551.0,26.0,2.0,5064.0,[2194],#8GGCQQ82,16000097.0,#8P8QC2JL8,5513.0,-26.0,1.0,939.0,#JGR2JVP,16000125.0,,,26000004,13,26000062,13,26000036,13,26000046,13,26000050,13,26000042,13,28000008,13,28000009,13,"[26000004, 26000036, 26000042, 26000046, 26000050, 26000062, 28000008, 28000009]",104,6,0,2,1,1,2,4,3.875,26000021,13,28000001,13,26000031,13,26000055,13,26000049,13,26000037,13,26000027,13,28000007,13,"[26000021, 26000027, 26000031, 26000037, 26000049, 26000055, 28000001, 28000007]",104,6,0,2,3,1,2,2,4.0
21,2020-12-31 21:06:49+00:00,54000050.0,72000006.0,5122.0,#2QLPJCVJ,5115.0,31.0,1.0,5832.0,"[3668, 604]",#YJQ8R0QJ,16000143.0,#PP2Y2GGGR,5129.0,-31.0,0.0,5304.0,#2Q9Y0JY2,16000122.0,[3346],,26000017,13,26000009,13,26000018,13,28000001,13,26000037,13,27000010,13,28000003,13,28000007,13,"[26000009, 26000017, 26000018, 26000037, 27000010, 28000001, 28000003, 28000007]",104,4,1,3,1,4,2,1,5.0,27000003,13,26000025,13,26000021,13,28000008,13,26000035,13,28000000,13,26000011,13,26000017,13,"[26000011, 26000017, 26000021, 26000025, 26000035, 27000003, 28000000, 28000008]",104,5,1,2,1,5,1,1,3.875
22,2020-12-31 21:06:51+00:00,54000050.0,72000006.0,4863.0,#YL0289PJ,4862.0,30.0,2.0,5242.0,[282],#YQ82Y98J,16000001.0,#Y8C900GRQ,4864.0,-30.0,1.0,1976.0,#8QYQRP9,16000078.0,,,26000004,13,26000033,10,26000043,13,26000083,13,28000000,13,26000014,13,26000062,13,28000008,13,"[26000004, 26000014, 26000033, 26000043, 26000062, 26000083, 28000000, 28000008]",101,6,0,2,2,2,1,3,4.625,26000055,12,26000046,12,26000058,13,26000032,12,26000049,13,28000008,13,26000014,13,26000002,13,"[26000002, 26000014, 26000032, 26000046, 26000049, 26000055, 26000058, 28000008]",101,7,0,1,3,1,1,3,3.125
23,2020-12-31 21:06:52+00:00,54000050.0,72000006.0,5500.0,#2G0YP8LLP,5511.0,28.0,1.0,5678.0,"[1878, 3668]",#LR89ULQ,16000077.0,#2QLYL0YRL,5489.0,-28.0,0.0,5832.0,#CYGQQ80,16000035.0,[3668],,26000037,13,28000008,13,28000007,13,26000006,13,27000012,13,28000012,13,28000015,13,26000023,13,"[26000006, 26000023, 26000037, 27000012, 28000007, 28000008, 28000012, 28000015]",104,3,1,4,1,1,4,2,3.625,26000037,13,26000042,13,26000046,13,28000015,13,26000064,13,26000055,13,28000001,13,26000056,13,"[26000037, 26000042, 26000046, 26000055, 26000056, 26000064, 28000001, 28000015]",104,6,0,2,2,0,2,4,3.625
24,2020-12-31 21:07:03+00:00,54000050.0,72000006.0,5077.5,#CCUP9UUJ,5081.0,29.0,1.0,5832.0,"[3668, 3346]",#9CRU89,16000083.0,#JJJLJPP,5074.0,-29.0,0.0,5832.0,#9YPYJPPQ,16000174.0,[3668],,28000011,13,27000001,13,27000010,13,26000012,13,26000041,13,27000006,13,26000032,13,28000000,13,"[26000012, 26000032, 26000041, 27000001, 27000006, 27000010, 28000000, 28000011]",104,3,3,2,2,3,1,2,3.5,26000055,13,26000039,13,26000011,13,26000032,13,26000061,13,26000084,12,26000044,13,26000037,13,"[26000011, 26000032, 26000037, 26000039, 26000044, 26000055, 26000061, 26000084]",103,8,0,0,1,2,1,4,3.625
25,2020-12-31 21:07:06+00:00,54000050.0,72000006.0,5480.5,#8GRVY9G0,5471.0,31.0,1.0,5832.0,"[1549, 3668]",#82G8GQC8,16000145.0,#9JJL29JLU,5490.0,-31.0,0.0,5622.0,#20PG0RCU,16000078.0,[3668],,26000034,13,26000024,13,28000008,13,27000006,13,26000064,12,28000004,13,26000008,13,28000011,13,"[26000008, 26000024, 26000034, 26000064, 27000006, 28000004, 28000008, 28000011]",103,4,1,3,5,0,2,1,3.75,26000012,13,26000011,13,26000049,13,27000010,13,28000007,13,26000015,13,26000037,13,26000035,13,"[26000011, 26000012, 26000015, 26000035, 26000037, 26000049, 27000010, 28000007]",104,6,1,1,1,2,3,2,3.875
26,2020-12-31 21:07:07+00:00,54000050.0,72000006.0,4579.5,#8CP8YGQG2,4567.0,32.0,3.0,5304.0,"[3346, 2419]",#C2QYQ8L,16000014.0,#YP9U29J02,4592.0,-32.0,0.0,,#JC9R0QG,16000125.0,,,28000001,13,28000004,12,26000020,13,28000005,12,26000026,12,26000022,13,26000012,11,26000017,13,"[26000012, 26000017, 26000020, 26000022, 26000026, 28000001, 28000004, 28000005]",99,5,0,3,2,1,4,1,4.0,26000017,12,26000022,12,26000006,13,26000011,13,26000012,11,26000046,12,26000042,11,28000005,11,"[26000006, 26000011, 26000012, 26000017, 26000022, 26000042, 26000046, 28000005]",95,7,0,1,1,2,3,2,4.125
27,2020-12-31 21:07:19+00:00,54000050.0,72000006.0,5304.0,#2JUC90UG,5291.0,32.0,2.0,4976.0,[1458],#LUPLLCJG,16000032.0,#8Q92JQ8VJ,5317.0,-32.0,1.0,3688.0,#9J0RPJ82,16000032.0,,,26000005,13,27000010,13,28000000,13,26000014,13,26000021,13,26000018,13,26000011,13,28000001,13,"[26000005, 26000011, 26000014, 26000018, 26000021, 27000010, 28000000, 28000001]",104,5,1,2,2,6,0,0,3.75,26000007,13,26000041,13,26000013,13,26000020,13,26000011,13,26000006,13,28000001,13,26000049,13,"[26000006, 26000007, 26000011, 26000013, 26000020, 26000041, 26000049, 28000001]",104,7,0,1,4,1,3,0,3.875
28,2020-12-31 21:07:32+00:00,54000050.0,72000006.0,4763.5,#89YYJRRG,4763.0,30.0,1.0,5832.0,"[1314, 3668]",#YJJVQ0RV,16000061.0,#YLJ92UP9P,4764.0,-30.0,0.0,5054.0,#LP2J90GJ,16000165.0,[3346],,26000018,13,28000011,13,26000022,13,26000021,13,28000000,13,26000017,13,26000011,13,26000008,13,"[26000008, 26000011, 26000017, 26000018, 26000021, 26000022, 28000000, 28000011]",104,6,0,2,2,5,0,1,4.125,26000055,12,26000013,13,26000017,13,26000052,13,26000062,12,27000006,13,26000056,12,28000011,12,"[26000013, 26000017, 26000052, 26000055, 26000056, 26000062, 27000006, 28000011]",100,6,1,1,2,2,1,3,4.0
29,2020-12-31 21:07:36+00:00,54000050.0,72000006.0,5430.5,#2U2RL9R8,5440.0,28.0,1.0,5832.0,"[3668, 2306]",#8YQ9UL,16000146.0,#2U2RCLJQL,5421.0,-28.0,0.0,4860.0,#L09LRC9C,16000100.0,[3668],,26000055,13,26000021,13,26000015,13,26000018,13,27000006,13,28000011,13,26000042,13,28000009,13,"[26000015, 26000018, 26000021, 26000042, 26000055, 27000006, 28000009, 28000011]",104,5,1,2,1,2,2,3,4.125,26000010,13,26000021,13,26000014,13,26000038,13,26000030,13,27000000,13,28000000,13,28000011,13,"[26000010, 26000014, 26000021, 26000030, 26000038, 27000000, 28000000, 28000011]",104,5,1,2,3,4,0,1,2.625
